step,loss
1,1,1.0167076587677002,0.9150368928909302,0.0001,1758465894.6200461,delta_net_hhmr
1,2,1.0121104717254639,0.9108994245529175,0.0001,1758465894.683164,delta_net_hhmr
1,3,1.0319665670394897,0.9287699103355408,0.0001,1758465894.742846,delta_net_hhmr
1,4,1.025974154472351,0.923376739025116,0.0001,1758465894.803303,delta_net_hhmr
1,5,1.0158932209014893,0.9143038988113403,0.0001,1758465894.863942,delta_net_hhmr
2,1,1.0195465087890625,0.9175918579101563,0.0001,1758465894.9256399,delta_net_hhmr
2,2,1.0228276252746582,0.9205448627471924,0.0001,1758465894.9913971,delta_net_hhmr
2,3,1.0184125900268555,0.91657133102417,0.0001,1758465895.053191,delta_net_hhmr
2,4,1.022240161895752,0.9200161457061767,0.0001,1758465895.113842,delta_net_hhmr
2,5,1.0098366737365723,0.9088530063629151,0.0001,1758465895.176238,delta_net_hhmr
3,1,1.0109108686447144,0.9098197817802429,0.0001,1758465895.236195,delta_net_hhmr
3,2,1.0120667219161987,0.9108600497245789,0.0001,1758465895.296628,delta_net_hhmr
3,3,1.0124789476394653,0.9112310528755189,0.0001,1758465895.3566132,delta_net_hhmr
3,4,1.009774923324585,0.9087974309921265,0.0001,1758465895.417546,delta_net_hhmr
3,5,1.0077695846557617,0.9069926261901856,0.0001,1758465895.478736,delta_net_hhmr
1,100,0.5,0.6,0.001,2025-09-22T13:24:59.017173,bash pipeline/train.sh delta_net_hrem
